,0
ENSG00000010539,6.308196721311474
ENSG00000010610,12.41803278688525
ENSG00000010626,7.714754098360656
ENSG00000010671,7.050819672131148
ENSG00000010704,6.381967213114754
ENSG00000010803,14.878688524590164
ENSG00000010810,21.109836065573766
ENSG00000011007,16.963934426229507
ENSG00000011009,19.418032786885245
ENSG00000011021,11.472131147540985
ENSG00000011052,13.798360655737707
ENSG00000011114,10.016393442622952
ENSG00000011132,9.188524590163937
ENSG00000011143,12.414754098360655
ENSG00000011198,11.481967213114753
ENSG00000011243,18.4
ENSG00000011260,17.9688524590164
ENSG00000011275,19.1327868852459
ENSG00000011295,11.134426229508195
ENSG00000011304,33.82295081967213
ENSG00000011376,10.875409836065572
ENSG00000011405,17.70163934426229
ENSG00000011422,13.536065573770495
